Marca temporal,¿Qué edad tienes?,¿Cuál de las siguientes opciones describe mejor tu identidad de género? ,¿A qué te dedicas actualmente?  (Elige la opción que mejor te describa),Con qué género(s) musical(es) te identificas más?,¿A cuántos festivales de música asistes aproximadamente al año?,¿A qué tipo de lugares sueles ir para vivir festivales o conciertos?,¿Viajas a otras ciudades para ir a festivales o conciertos?,¿Generalmente asistes sola(o) o acompañada(o) a los festivales?,¿Qué influye más en tu decisión para asistir a un festival?,¿Generalmente cuál  es tu mayor gasto extra (aparte del boleto)? ,¿Cuál es tu presupuesto por día para gastar en comida y bebidas en el festival? ,¿Cuánto tiempo sueles pasar dentro de un festival?,¿Cómo manejas tu energía durante el evento?,¿Cuánto tiempo tardas en recuperarte después de un festival?,Cómo te enteras normalmente de los festivales?,¿Qué tan fácil te resulta conseguir boletos y planear tu asistencia?,¿Cuál fue el último festival al que asististe?,¿Qué tan seguro/a te sentiste durante el festival?,Qué aspectos te gustaron más?,¿Qué fue lo que menos te gustó?,¿Qué tipo de experiencias te gustaría vivir además de la música?,¿Qué emociones predominan para ti durante un festival?,¿Consideras que los festivales generan comunidad o conexión con otras personas?,¿Crees que los festivales tienen un impacto social o cultural más allá del entretenimiento?
10/10/2025 19:57:28,45 o más,Hombre,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Busco zonas tranquilas o de sombra,Dos o tres días de bajón,Redes sociales,3,Corona Capital,1,Artistas,Señal e internet,Espacios de bienestar (descanso),Euforia,Algo,Sí
10/10/2025 20:07:15,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Comida dentro del festival 🥫,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,2,Ceremonia 👎,5,Artistas,Seguridad,Experiencias tecnológicas / instalaciones interactivas,Conexión,"Sí, totalmente",Sí
10/10/2025 20:13:45,25 a 34,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,En ciudades medianas o eventos locales,"Sí, casi siempre",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Solo un día,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,2,Hipnosis ,1,Artistas,Señal e internet,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 20:24:52,25 a 34,Mujer,Desempleado(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,2,Estéreo picnic,4,Producción y escenografía,Lluvia extrema,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 21:04:39,25 a 34,Mujer,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Una semana para volver a la normalidad,Redes sociales,2,Corona Capital 2024,2,Convivencia y ambiente,Señal e internet,Charlas o Talleres,Alegría,No mucho,Tal vez
10/10/2025 21:26:37,25 a 34,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,En ciudades medianas o eventos locales,Casi nunca,Con familia,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Máximo  $200 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,4,"Hell And Heaven, 2023",2,Artistas,Precios,Arte visual,Alegría,No mucho,Sí
10/10/2025 22:10:31,25 a 34,Hombre,Empleado(a) a tiempo parcial,Hip-Hop / Rap / R&B,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,3,Cocafest creo,2,Me regalaron los boletos,Señal e internet,Espacios de bienestar (descanso),Euforia,Algo,Sí
10/10/2025 22:28:50,25 a 34,Mujer,Empleado(a) a tiempo parcial,Pop,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Emblema ,2,Organización y logística,Baños,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
10/10/2025 22:49:05,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,1,Corona,2,Artistas,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 22:52:37,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel y precios ,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Pitchfork ,1,Artistas,Precios,Experiencias tecnológicas / instalaciones interactivas,Conexión,"Sí, totalmente",Sí
10/10/2025 22:58:29,25 a 34,Hombre,Empleado/Freelance/Dueño,Hip-Hop / Rap / R&B,3 a 5 festivales,Depende del cartel,"A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Cervantino,3,Producción y escenografía,Accesibilidad para todxs,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 23:00:14,35 a 44,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Máximo  $200 mxn,Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,2,Off Limits,1,Artistas,Calidad de sonido,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 23:34:42,35 a 44,Hombre,Freelance / Autónomo(a),Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,2,Mexsynthco,1,Convivencia y ambiente,Baños,Experiencias tecnológicas / instalaciones interactivas,Conexión,Algo,Sí
10/10/2025 23:55:20,25 a 34,No binari@,autoempleo?,Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Una semana para volver a la normalidad,Redes sociales,2,ceremonia 2025 ,5,Artistas,Seguridad,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
11/10/2025 0:38:43,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,1,"En México, al MJazz. En el extranjero, al Fuzztival.",1,Artistas,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
11/10/2025 0:46:45,25 a 34,Mujer,Desempleado(a),Hip-Hop / Rap / R&B,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Amigos/as,3,Ceremonia 2024,3,Artistas,Señal e internet,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
11/10/2025 1:36:26,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 10 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Más de $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,"Bandemia, fuzzada y conciertos. Más de 10",2,Artistas,Precios,Espacios de bienestar (descanso),Conexión,Algo,Tal vez
11/10/2025 2:54:20,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,4,CC,1,Calidad de sonido,Baños,Arte visual,Conexión,Algo,Tal vez
11/10/2025 7:32:29,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Precio,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,1,Hipnosis 2024,1,Espacio,Filas para accesos,Espacios de bienestar (descanso),Alegría,Algo,Tal vez
11/10/2025 8:02:36,35 a 44,Mujer,Freelance / Autónomo(a),Experimental,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,2,"Mutek , festival fotosíntesis ",1,Artistas,Accesibilidad para todxs,Iniciativas ecológicas o comunitarias,Conexión,Algo,Sí
11/10/2025 8:07:08,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Amigos/as,3,Pitchfork ,2,Artistas,Precios,Experiencias tecnológicas / instalaciones interactivas,Conexión,"Sí, totalmente",Sí
11/10/2025 8:41:53,25 a 34,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",En pareja,Precio,"Mercancía, si hay algo que me guste mucho, como un poster o una playera","Entre $1,000 mxn y $2,000 mxn",Solo un día,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,1,Hipnosis 2024,5,Artistas,Precios,Iniciativas ecológicas o comunitarias,Alegría,No mucho,No
11/10/2025 10:03:29,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Hell and Heaven ,2,Artistas,Baños,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
11/10/2025 10:21:42,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Amigos/as,2,Pitchfork,1,Artistas,Baños,Experiencias tecnológicas / instalaciones interactivas,Alegría,Algo,Sí
11/10/2025 10:54:43,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Suelo irme antes de que acabe,Dos o tres días de bajón,Redes sociales,2,Hipnosis del año pasado,4,Artistas,Precios,Arte visual,Euforia,Algo,Sí
11/10/2025 12:04:52,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,En ciudades medianas o eventos locales,"A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Hipnosis ,3,Artistas,Filas para accesos,Arte visual,Alegría,"Sí, totalmente",Sí
11/10/2025 14:37:04,25 a 34,Hombre,Empleado(a) a tiempo completo,Hip-Hop / Rap / R&B,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Cc,3,Artistas,Precios,Iniciativas ecológicas o comunitarias,Alegría,"Sí, totalmente",Tal vez
11/10/2025 16:35:23,35 a 44,Mujer,Empleado(a) a tiempo completo,Pop,1 a 2 festivales,En ciudades medianas o eventos locales,Casi nunca,Con amix,Precio,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Solo unas horas (voy por artistas específicos),Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,2,Fimqro,1,Artistas,Baños,Arte visual,Conexión,"Sí, totalmente",Sí
11/10/2025 18:19:16,25 a 34,Hombre,Empleado(a) a tiempo completo,Hip-Hop / Rap / R&B,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Todas las anteriores ,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Axe Ceremonia,1,Artistas,Accesibilidad para todxs,"Es solo música, no se necesita más.",Euforia,"Sí, totalmente",Sí
11/10/2025 18:43:03,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Pitchfork,1,Artistas,Baños,Arte visual,Alegría,"Sí, totalmente",Sí
11/10/2025 18:46:05,25 a 34,Mujer,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,coachella ,1,Organización y logística,Precios,Iniciativas ecológicas o comunitarias,Conexión,"Sí, totalmente",Sí
11/10/2025 19:06:54,25 a 34,Mujer,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,1,EDC,3,Visuales,Limpieza / sustentabilidad,Arte visual,Conexión,"Sí, totalmente",Sí
11/10/2025 19:12:13,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Vive Latino,1,Convivencia y ambiente,Precios,Experiencias tecnológicas / instalaciones interactivas,Alegría,"Sí, totalmente",Sí
11/10/2025 19:31:07,25 a 34,Mujer,Desempleado(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con familia,Cartel / artistas,Comida dentro del festival 🥫,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,1,Vive latino ,2,Artistas,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
11/10/2025 19:32:35,35 a 44,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Más de $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Vaiven,2,Artistas,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
11/10/2025 19:33:16,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,No me recupero… hasta el siguiente festival,Redes sociales,2,Corona Capital,1,Artistas,Precios,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
11/10/2025 19:42:40,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,VIVE LATINO / ZOÉ ESTADIO GNP,4,Artistas,Accesibilidad para todxs,Experiencias tecnológicas / instalaciones interactivas,Euforia,"Sí, totalmente",Sí
11/10/2025 19:47:31,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Vive Latino ,3,Artistas,Señal e internet,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
11/10/2025 19:55:12,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Solo unas horas (voy por artistas específicos),Busco zonas tranquilas o de sombra,Una semana para volver a la normalidad,Redes sociales,3,Estéreo Picnic,1,Organización y logística,Señal e internet,Arte visual,Euforia,"Sí, totalmente",Sí
11/10/2025 20:04:13,25 a 34,Hombre,Empleado(a) a tiempo completo,Folk,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Precio,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,2,Vive latino ,3,Artistas,Baños,Espacios de bienestar (descanso),Alegría,Algo,Sí
11/10/2025 20:06:47,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 10 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),"Más de $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,5,Vive Latino,1,Artistas,Precios,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
11/10/2025 20:14:03,25 a 34,Hombre,Empleado(a) a tiempo parcial,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Pulso GNP,1,Artistas,Baños,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
11/10/2025 20:23:55,25 a 34,Mujer,Freelance / Autónomo(a),Reguetón,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Sola(o),Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,4,Flow Fest,3,Artistas,Precios,Espacios de bienestar (descanso),Nostalgia,Para nada,No
11/10/2025 22:14:01,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Una semana para volver a la normalidad,Redes sociales,1,Hipnosis,3,Convivencia y ambiente,Seguridad,Espacios de bienestar (descanso),Nostalgia,"Sí, totalmente",Sí
11/10/2025 22:46:54,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,2,Ceremonia 2025,2,Artistas,Precios,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
12/10/2025 7:17:45,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Corona capital ,3,Artistas,Baños,Arte visual,Alegría,"Sí, totalmente",Sí
12/10/2025 9:26:14,35 a 44,Mujer,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Hipnosis ,1,Artistas,Baños,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
12/10/2025 10:45:51,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,VL25,4,Artistas,Filas para accesos,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
12/10/2025 14:20:41,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Precio,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,4,Vive Latino 2025,3,Calidad de sonido,Precios,Espacios de bienestar (descanso),Alegría,Algo,No
12/10/2025 15:45:00,25 a 34,Mujer,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",En pareja,Precio,Transporte (ida y vuelta dentro de la ciudad),Máximo  $200 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Festival Brillante 2025,1,Organización y logística,Precios,Iniciativas ecológicas o comunitarias,Euforia,"Sí, totalmente",Sí
12/10/2025 19:24:30,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Disponibilidad de tiempo,Transporte a la ciudad del festival 🚌🛬,Máximo  $200 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,2,Ceremonia 2025,4,Artistas,Demasiada distancia entre escenarios,Espacios de bienestar (descanso),Cansancio,Algo,Tal vez
12/10/2025 20:52:16,25 a 34,No binari@,Empleado(a) a tiempo parcial,Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Precio,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,3,Mutek,1,Artistas,Precios,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
12/10/2025 23:59:39,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Me la paso bailando todo el tiempo 🕺,Una semana para volver a la normalidad,Redes sociales,1,Vaivén ,5,Artistas,Seguridad,Arte visual,Euforia,"Sí, totalmente",Sí
